nGram,frequency
10241329.json,141
10242524.json,1017
10242684.json,22
10242755.json,249
10243492.json,0
10245266.json,0
10246614.json,122
10247279.json,37
10247404.json,408
10248616.json,115
10249822.json,167
10249830.json,30
10249852.json,64
10250193.json,0
10250214.json,207
10250799.json,61
10251209.json,84
10251765.json,25
10252395.json,23
10252991.json,0
10253022.json,0
10253814.json,3
10253853.json,31
10254205.json,32
10254329.json,31
10255814.json,263
10256114.json,40
1025681.json,17
10257117.json,33
10257981.json,113
10258026.json,47
1025807.json,0
10258974.json,0
10259895.json,270
10259928.json,55
10260277.json,64
10260562.json,58
10260633.json,16
10261292.json,166
10262021.json,35
10262505.json,307
10262794.json,181
10262988.json,118
10263861.json,39
10264054.json,45
10264123.json,0
10264583.json,144
10264615.json,16
10264803.json,182
10265011.json,55
10265243.json,0
10265565.json,150
10266944.json,0
10267294.json,0
10268084.json,147
10268296.json,266
10269112.json,43
10270471.json,44
10270480.json,107
10271091.json,42
10271328.json,394
10271589.json,0
10272142.json,51
10272373.json,0
10272557.json,39
10273584.json,166
10274668.json,681
10274727.json,81
10274927.json,50
10275461.json,149
10277428.json,8
10278551.json,97
10279156.json,135
10280461.json,0
1028065.json,22
10280828.json,12
10280930.json,0
1028095.json,347
10281370.json,102
10282188.json,0
10282871.json,0
10283190.json,83
10283763.json,126
10283886.json,205
10284439.json,37
10285157.json,31
10285830.json,0
10285973.json,15
10286342.json,79
10286927.json,434
10287503.json,240
10288312.json,0
10288685.json,42
10290356.json,17
10291128.json,145
10291406.json,177
10291493.json,329
10292353.json,71
10292587.json,175
10292793.json,30
10292847.json,51
10293555.json,0
10293627.json,80
10294221.json,72
10295100.json,72
10297299.json,18
10298073.json,0
10299660.json,55
10300387.json,380
10301593.json,68
10301703.json,13
10302200.json,100
10302394.json,21
10302410.json,53
10303368.json,68
10304476.json,0
10304573.json,122
10304694.json,61
10304869.json,12
10306034.json,770
10306686.json,115
10307643.json,106
10307797.json,296
10308386.json,20
10308695.json,150
10309081.json,1
10309851.json,52
10310110.json,105
1031034.json,0
10310411.json,112
10310563.json,613
10310564.json,289
10311220.json,36
10311959.json,77
10312387.json,48
10312442.json,0
10312474.json,76
10312970.json,41
10313219.json,16
10313467.json,200
10313846.json,220
10314070.json,75
10315111.json,0
10315147.json,996
10315614.json,130
10317079.json,445
10317434.json,26
10318432.json,101
10318718.json,132
10319112.json,85
10322913.json,14
10323538.json,66
10323785.json,109
10324186.json,150
10324564.json,103
10324749.json,65
10325622.json,11
10326900.json,48
10327112.json,6
10327183.json,75
10327989.json,0
10328177.json,260
10328604.json,77
10329560.json,93
1032982.json,21
10330369.json,130
10330375.json,0
10330557.json,127
1033106.json,0
10331726.json,12
10331744.json,728
10332317.json,471
10332697.json,101
10332811.json,610
10334524.json,13
10335543.json,0
10335784.json,267
10336006.json,0
10336253.json,58
10336361.json,9
10336507.json,2
1033793.json,30
10338614.json,279
10338760.json,207
10339122.json,62
10339778.json,354
10339825.json,41
10339930.json,161
10340788.json,57
10342109.json,0
10342767.json,0
10342968.json,19
10343020.json,53
10343169.json,196
10343375.json,140
10344098.json,50
10344173.json,15
10344526.json,204
1034458.json,6
10345145.json,119
10345171.json,149
10345514.json,133
10345870.json,89
10346304.json,338
1034718.json,0
1034726.json,117
10348536.json,20
1034882.json,0
10349426.json,50
10350196.json,31
10350979.json,0
1035134.json,0
10351686.json,72
10352597.json,71
10352700.json,25
10353708.json,21
10354159.json,46
1035445.json,0
10355898.json,34
10356145.json,12
10356456.json,80
10357921.json,0
10358333.json,153
10358625.json,190
10359495.json,5
10359802.json,95
10359830.json,39
10360473.json,152
10360677.json,165
10360903.json,58
10361281.json,73
10363800.json,48
10366026.json,8
10366594.json,20
10367077.json,93
10367215.json,54
10367584.json,29
10367633.json,101
10367698.json,384
10368048.json,143
10369532.json,0
10369784.json,32
10369837.json,14
10369899.json,187
10369989.json,93
10370203.json,59
10370269.json,52
10371615.json,0
10371716.json,278
10372100.json,67
10372232.json,4
10372781.json,149
10373699.json,80
10374013.json,216
10375182.json,0
10375475.json,215
10375678.json,245
10376269.json,0
1037635.json,37
10376397.json,281
10376881.json,0
10377030.json,64
10377153.json,0
10377365.json,28
10377397.json,88
10378921.json,63
10379355.json,451
10379816.json,0
10380466.json,0
10380570.json,39
10380838.json,407
10381244.json,105
10381267.json,951
10381551.json,29
1038223.json,0
10383168.json,0
10383688.json,49
10384645.json,73
10384870.json,147
10385305.json,10
1038540.json,33
10386011.json,251
10386025.json,31
10387259.json,64
10387581.json,38
10387850.json,50
10388136.json,74
10388497.json,267
10389001.json,113
10389494.json,37
10389632.json,4
10391290.json,122
10392184.json,0
10392210.json,40
1039228.json,31
10392561.json,28
10392868.json,3
10393380.json,64
10393605.json,28
10393690.json,89
10393699.json,89
10393993.json,35
10394475.json,266
10394634.json,38
10394850.json,144
10395852.json,38
10396069.json,78
10399374.json,99
10400229.json,202
10400714.json,310
10401263.json,67
1040139.json,87
10402356.json,31
10403542.json,110
10404015.json,13
10405052.json,36
10405601.json,69
10406029.json,38
10406157.json,403
10406279.json,61
10406703.json,106
10407157.json,724
10408732.json,5
10409004.json,2
10409130.json,20
10409831.json,0
10410502.json,73
10410628.json,27
10411607.json,54
10412045.json,49
10412408.json,10
10412453.json,24
10412995.json,47
10413102.json,12
10415473.json,0
10415531.json,89
10415747.json,22
10416653.json,0
10416736.json,44
10421080.json,37
10422830.json,328
10423145.json,0
10424028.json,0
10424091.json,120
10424234.json,10
1042435.json,46
10424577.json,0
10424752.json,22
10424974.json,70
10425978.json,72
10426747.json,86
10427533.json,61
10427813.json,20
10427846.json,1367
10428861.json,82
10429331.json,190
10431266.json,60
10431452.json,75
10433415.json,73
10434295.json,231
10435103.json,43
10435466.json,116
10435536.json,229
10435636.json,0
10435823.json,68
10436191.json,681
10437331.json,64
10437623.json,146
10439527.json,0
10440573.json,200
10441972.json,82
10442106.json,50
10442544.json,0
10442758.json,29
10442875.json,88
10443682.json,159
1044372.json,50
10443788.json,0
10443956.json,25
10444450.json,72
10445198.json,70
1044543.json,81
10446788.json,58
10446815.json,108
10448420.json,99
10448492.json,0
10448588.json,50
10448650.json,44
10449198.json,36
10449610.json,20
10449801.json,188
1045015.json,0
10450461.json,60
10450713.json,8
10452659.json,94
10452729.json,0
10453242.json,136
10453568.json,64
10454345.json,297
10454827.json,22
10455416.json,27
10455738.json,56
10455764.json,0
10456936.json,15
10457155.json,21
10457634.json,224
10457817.json,23
10457844.json,309
10458147.json,11
10458587.json,131
10458594.json,88
10458904.json,0
10459216.json,354
10459424.json,26
10459732.json,0
10463963.json,18
10465704.json,303
10465726.json,33
10466706.json,416
10466746.json,200
10468341.json,0
10468452.json,60
10469763.json,233
10470023.json,93
10471646.json,59
10471717.json,45
1047537.json,0
10477570.json,24
10477747.json,0
10478397.json,31
10478495.json,0
10478524.json,0
10478673.json,0
10479234.json,106
10479523.json,1
10479753.json,10
1047978.json,9
10479948.json,23
10480046.json,9
10481307.json,102
10481828.json,0
10483941.json,44
10485088.json,15
10486170.json,324
10486653.json,1913
10487104.json,0
10487680.json,35
10487781.json,105
10488810.json,102
10489806.json,31
10491063.json,157
10491729.json,31
10492489.json,16
10492659.json,261
10493246.json,0
10494764.json,262
10495562.json,284
10497009.json,0
10497905.json,0
10497911.json,27
10499253.json,79
10499800.json,312
10500183.json,0
1050027.json,0
10500831.json,17
10502157.json,78
10504246.json,18
10505001.json,21
10505015.json,0
10506180.json,68
10506455.json,0
10507123.json,49
10508909.json,231
10509531.json,339
10509699.json,264
10509738.json,24
1050989.json,138
10510633.json,138
1051108.json,0
10512699.json,1
10513798.json,0
10513935.json,54
10514691.json,69
10514956.json,652
10515154.json,17
10515298.json,121
10515593.json,0
10516354.json,0
10517383.json,19
10520607.json,582
10520617.json,60
10521003.json,26
10521323.json,45
10522430.json,313
10523721.json,229
10524189.json,0
10524821.json,40
10526049.json,97
10527220.json,18
10527634.json,67
10527796.json,24
10529011.json,0
10529203.json,33
10529270.json,126
10529399.json,152
10529531.json,49
10530166.json,16
10530353.json,109
10531672.json,267
10532223.json,0
10532322.json,248
10532463.json,193
10534660.json,215
10534878.json,0
10535027.json,45
10535215.json,42
10535347.json,177
10535519.json,125
10535757.json,0
10536670.json,6
10537391.json,11
10538197.json,338
10538869.json,75
10538969.json,115
10539790.json,48
10540726.json,89
10541229.json,84
10541899.json,728
10542664.json,118
10542818.json,219
10544076.json,65
10545491.json,261
10546720.json,235
10547076.json,134
10547303.json,63
10547362.json,6
10547400.json,51
10547409.json,80
10547884.json,98
10548268.json,42
10548901.json,91
10551699.json,145
10553209.json,28
10553649.json,50
10553862.json,0
10554959.json,46
